day_offset,position,channel,is_required,title,whatsapp_text,reel_script,ads_checklist
0,10,CRM,true,Checklist Alto Padrão: validar briefing + público-alvo,"","Gancho: 'Esse imóvel não é pra todo mundo — e é exatamente por isso que ele é especial.' Estrutura: 1) Para quem é 2) Diferenciais 3) Call-to-action (agendar visita).","Definir persona (empresário/investidor/família); Tom de voz premium; Palavras proibidas (barato/promoção); CTA (visita guiada)"
0,20,Fotos,true,Fotografia premium (arquitetura + detalhes) + seleção 20 fotos,"","Vídeo bastidores curto: 'Como se fotografa um alto padrão de verdade'","Contratar/brief fotógrafo; Fotos em HDR; Detalhes (marcenaria/pedras/iluminação); Imagem capa"
0,30,Vídeo,true,Gravar tour vertical (60–90s) + tour horizontal (YouTube/portal),"","Roteiro: 1) Fachada/entrada 2) Living 3) Cozinha 4) Suíte master 5) Área gourmet/piscina 6) Vista 7) Localização/benefícios 8) CTA","Áudio limpo; estabilização; takes de detalhe; legenda on-screen"
0,40,Portais,true,Publicar em portais com descrição premium + SEO local,"","Mini script: 'O que torna essa rua/bairro tão desejado?'","Título: bairro + metragem + 1 diferencial; Descrição com benefícios; Tags; Fotos ordenadas; mapa correto"
1,50,Instagram,true,Post carrossel 1 (foto capa + 8–10 detalhes),,"Gancho: 'Um alto padrão que entrega o que promete: espaço, acabamento e localização.' CTA: 'Comente “VISITA”'.","Legenda premium; hashtags locais; fixar nos destaques"
1,60,WhatsApp,true,Disparo segmentado (lista VIP / investidores / corretores parceiros),"João, acabei de liberar um alto padrão bem acima da média: [bairro], [m²], [3–4 suítes], acabamento impecável e área gourmet completa. Quer que eu te envie fotos e o tour?","", "Lista VIP; Mensagem curta; Link do tour; Agendar 3 horários sugeridos"
2,70,Stories,true,Stories 1: enquete + bastidores + CTA (agendar),,"Roteiro stories: 1) 'Você prefere suíte master ou área gourmet?' 2) detalhe acabamento 3) CTA visita guiada","Sticker enquete; link; salvar em Destaques: Alto Padrão"
3,80,Ads,true,Subir campanha Meta (Topo de Funil) com vídeo + carrossel,,,"Objetivo: Visualizações/Engajamento; Público: raio 20–40km + interesses alto padrão; Criativos 3 variações; UTM"
4,90,Networking,true,Ativar rede de parceiros (corretores premium) com kit do imóvel,"Tenho um alto padrão em [bairro] com excelente margem e material pronto (fotos + tour). Quer entrar como parceiro? Posso te mandar o kit e combinamos a visita guiada.","", "Kit: link pasta; regras parceria; agenda de visitas"
5,100,Reels,true,Reels 1: “3 motivos” (30–45s),,"Gancho: '3 razões pra esse alto padrão ser diferente.' 1) localização 2) suíte master 3) gourmet/piscina. CTA: 'Me chama no Whats'.","Legendas; cortes rápidos; B-roll detalhes"
6,110,CRM,true,Follow-up leads da semana (responder/qualificar),,"","Checklist: responder todos; tag VIP; agendar visita; registrar objeções"
7,120,OpenHouse,true,Organizar “visita guiada por horário” (1 dia, vagas limitadas),"Vou abrir horários guiados para conhecer esse alto padrão (vagas limitadas). Quer garantir um horário? Tenho [hora1], [hora2], [hora3].","", "Roteiro visita; playlist ambiente; aromas; limpeza; água/café"
8,130,Instagram,true,Post carrossel 2: planta/fluxo + ambientes,,,"Legenda: conforto + funcionalidade; CTA: 'Peça a planta'","Adicionar planta humanizada; marcar localização aproximada"
