(day_offset,position,channel,is_required,title,whatsapp_text,reel_script,ads_checklist
35,10,CRM,true,Revisar mensagens/atendimento e tempo de resposta,,"","SLA: responder em <10 min; templates; follow-up"
42,20,Reels,true,Reels: “Perguntas frequentes” (IPTU/condomínio/segurança),,"Gancho: '3 perguntas que sempre fazem antes de visitar esse alto padrão'","Legendas; CTA WhatsApp"
45,30,Ads,true,Remarketing 30–45 dias (engajados e visitantes),,,"Público: engajados 30d; Criativo novo; CTA visitas"
50,40,Networking,true,Ativar 10 novos parceiros/indicações (rodada 2),"Tenho um alto padrão com material completo. Quer receber o kit e alinhar parceria?","", "Lista; abordagem personalizada"
60,50,Decisão,true,Revisão 60 dias: preço/posicionamento + atualizar anúncios,,"","Comparativos; feedback; ajustar capa/descrição"
63,60,OpenHouse,true,Evento visita guiada premium (por convite),,, "Convites VIP; horários; experiência"
70,70,Instagram,true,Carrossel: “Detalhes de acabamento (parte 2)”,,,"Fotos novas; CTA visita"
75,80,WhatsApp,true,Follow-up base VIP: atualização + horários,"Atualização rápida: seguimos com horários guiados para o alto padrão em [bairro]. Quer que eu reserve um horário pra você/cliente?","", "CTA com 3 horários"
84,90,Reels,true,Reels: “Noite / iluminação / gourmet” (cinematográfico),,"Gancho: 'Esse imóvel à noite é outro nível'","Cortes lentos; música; CTA"
90,100,Decisão,true,Revisão 90 dias: estratégia (reposicionar criativo / ajustar público / portais),,,"Decidir: novo vídeo? nova capa? nova copy?"
98,110,Ads,true,Campanha Mensagens (WhatsApp) otimizada por leads qualificados,,,"Criativos vencedores; perguntas pré-qualificação"
105,120,Conteúdo,true,Conteúdo: “Como avaliar um alto padrão sem cair em armadilhas”,,,"Estrutura: materiais, documentação, vizinhança"
120,130,Decisão,true,Revisão 120 dias: possíveis melhorias (home staging leve) e novo tour,,"","Checklist: staging; fotos novas; tour atualizado"
126,140,Instagram,true,Carrossel: “Planta + metragem + fluxo (parte 2)”,,,"CTA: pedir ficha técnica"
135,150,Networking,true,Rodada 3 parceiros + investidores, "Tenho um alto padrão com potencial de liquidez e excelente apresentação. Quer o kit para clientes/investidores?","", "Lista; abordagem premium"
150,160,Ads,true,Remarketing 120–150 dias (criativo novo + prova social),,,"Depoimentos; bastidores; CTA visitas"
160,170,CRM,true,Relatório: funil 150–160 e plano final 30 dias,,"","Leads; visitas; objeções; próximos passos"
180,180,Decisão,true,Revisão 180 dias: decisão final (ajuste preço / reposicionamento / pausa),,,"Checklist de decisão; plano 180+"
